tender_id,title,category,allocated_amount,state,district,block,latitude,longitude,status,department
NIT-HR-003,Hisar Canal Water Distribution Upgrade,Water,38.60,Haryana,Hisar,Hisar Urban,29.1492,75.7217,Active,Haryana Irrigation Dept
NIT-DL-001,Delhi Dwarka Expressway Utility Shifting,Road,185.00,Delhi,West Delhi,Dwarka Sector 21,28.5524,77.0516,Active,NHAI Delhi Zone
NIT-DL-002,Delhi Yamuna Floodplain Road Embankment,Water,95.40,Delhi,East Delhi,Mayur Vihar,28.6085,77.2990,Active,DJB
NIT-DL-003,Rohini Urban Road Resurfacing Phase-6,Road,45.20,Delhi,North West Delhi,Rohini Sector 15,28.7395,77.0596,Completed,PWD Delhi
NIT-DL-004,Delhi AIIMS Trauma Centre Expansion Building,Building,220.00,Delhi,South Delhi,Safdarjung,28.5680,77.2098,Active,CPWD Delhi
NIT-BR-001,Patna Metro Phase-1 Patliputra Corridor,Road,2800.00,Bihar,Patna,Patliputra,25.6177,85.0997,Active,Patna Metro Rail Corp
NIT-BR-002,Patna PMAY Housing Project Phase-4,Building,125.00,Bihar,Patna,Phulwari Sharif,25.5600,85.1300,Active,PMAY Bihar
NIT-BR-003,Muzaffarpur Ring Road Phase-2,Road,185.40,Bihar,Muzaffarpur,Motipur,26.1197,85.3910,Awarded,Bihar State Road Dev Corp
NIT-BR-004,Gaya Buddhist Circuit Road Upgrade,Road,88.60,Bihar,Gaya,Bodhgaya,24.6961,84.9878,Active,Tourism Dept Bihar
NIT-BR-005,Bhagalpur Vikramshila Bridge Approach Road,Bridge,48.90,Bihar,Bhagalpur,Naugachia,25.2425,86.9842,Active,Bihar Bridge Corp
NIT-BR-006,Darbhanga Flood Embankment Strengthening,Water,35.70,Bihar,Darbhanga,Bahera,26.1542,85.8918,Active,WRD Bihar
NIT-BR-007,Samastipur Kalyanpur-Warisnagar Road,Road,3.45,Bihar,Samastipur,Kalyanpur,25.8900,85.7600,Active,Rural Works Dept
NIT-BR-008,Samastipur High-Level Bridge Rosera-Bagmati,Bridge,14.30,Bihar,Samastipur,Rosera,25.9800,85.9700,Awarded,Bihar Bridge Corp
NIT-BR-009,Samastipur Urban Water Network Modernisation,Water,9.50,Bihar,Samastipur,Samastipur Urban,25.8624,85.7810,Active,PHED Bihar
NIT-BR-010,Samastipur Dalsinghsarai NH-28 Service Road,Road,8.75,Bihar,Samastipur,Dalsinghsarai,25.6700,85.8300,Active,NHAI Bihar
NIT-BR-011,Samastipur CHC Dalsinghsarai Health Centre,Building,7.20,Bihar,Samastipur,Dalsinghsarai,25.6600,85.8400,Active,Health Dept Bihar
NIT-BR-012,Samastipur Warisnagar Police Station Complex,Building,4.40,Bihar,Samastipur,Warisnagar,25.8550,85.9050,Active,Home Dept Bihar
NIT-BR-013,Samastipur Patori Flood Drainage Canal,Water,4.15,Bihar,Samastipur,Patori,25.9300,85.8600,Awarded,WRD Bihar
NIT-BR-014,Samastipur Solar Street Lighting Rural Areas,Building,3.10,Bihar,Samastipur,Samastipur Urban,25.8624,85.7810,Active,Energy Dept Bihar
NIT-BR-015,Samastipur Singhia Budhi Gandak Bridge,Bridge,6.80,Bihar,Samastipur,Singhia,25.8276,86.1757,Active,Bihar Bridge Corp
NIT-AS-001,Guwahati Ring Road Phase-2 North Bank,Road,285.00,Assam,Kamrup Metro,Dispur,26.1445,91.7362,Active,NHAI Assam Zone
NIT-AS-002,Brahmaputra Flood Embankment Dibrugarh,Water,65.40,Assam,Dibrugarh,Dibrugarh East,27.4728,94.9120,Active,Assam WRD
NIT-AS-003,Silchar Barak Bridge Widening,Bridge,42.80,Assam,Cachar,Silchar,24.8333,92.7789,Active,PWD Assam
NIT-HP-001,Shimla Bypass Road Tunnel Phase-2,Road,485.00,Himachal Pradesh,Shimla,Mashobra,31.1048,77.1734,Active,NHAI HP Zone
NIT-HP-002,Manali-Leh Highway Winter Package,Road,325.00,Himachal Pradesh,Kullu,Manali,32.2396,77.1887,Active,BRO Himachal
NIT-UK-001,Dehradun-Haridwar Expressway Phase-1,Road,680.00,Uttarakhand,Dehradun,Raipur,30.3165,78.0322,Active,UPEIDA Uttarakhand
NIT-UK-002,Char Dham Highway Package Kedarnath Zone,Road,420.00,Uttarakhand,Rudraprayag,Ukhimath,30.5700,79.0900,Active,NHIDCL
NIT-UK-003,Haridwar Ganga Ghats Renovation,Building,55.40,Uttarakhand,Haridwar,Har ki Pauri,29.9457,78.1642,Awarded,Tourism Dept Uttarakhand
NIT-KL-001,Kochi Water Metro Phase-2 Expansion,Water,485.00,Kerala,Ernakulam,Fort Kochi,9.9312,76.2673,Active,Kochi Metro Rail Ltd
NIT-KL-002,Thiruvananthapuram Bypass NH-66 Widening,Road,225.00,Kerala,Thiruvananthapuram,Kazhakuttam,8.5241,76.9366,Active,NHAI Kerala Zone
NIT-KL-003,Kozhikode Smart City Road Package-3,Road,88.40,Kerala,Kozhikode,Beypore,11.1085,75.8038,Active,Kozhikode Corp
NIT-CG-001,Raipur Smart City Road & Drain Package-4,Road,95.40,Chhattisgarh,Raipur,Avanti Vihar,21.2514,81.6296,Active,Smart City Raipur Ltd
NIT-CG-002,Bilaspur NH-130 Four-Lane Conversion,Road,185.00,Chhattisgarh,Bilaspur,Masturi,22.0796,82.1391,Awarded,NHAI CG Zone
NIT-CG-003,Jagdalpur Bastar Road Tribal Connectivity,Road,48.60,Chhattisgarh,Bastar,Jagdalpur,19.0748,82.0144,Active,CG Rural Road Dev Agency
NIT-JK-001,Jammu Ring Road Phase-3 Bhalwal,Road,325.00,Jammu & Kashmir,Jammu,Bhalwal,32.7266,74.8570,Active,JKRIDL
NIT-JK-002,Srinagar Smart City Flood Drain Upgrade,Water,145.00,Jammu & Kashmir,Srinagar,Lal Chowk,34.0837,74.7973,Active,Smart City Srinagar Ltd
NIT-JK-003,Anantnag-Pahalgam Tourism Road Widening,Road,88.40,Jammu & Kashmir,Anantnag,Pahalgam,34.0151,75.3147,Active,JKPWD
NIT-GA-001,Panaji Zuari Bridge New Span Construction,Bridge,285.00,Goa,North Goa,Panaji,15.4909,73.8278,Active,PWD Goa
NIT-GA-002,Margao Smart City Road & Parking,Road,48.60,Goa,South Goa,Margao,15.2832,73.9862,Active,Smart City Margao
